System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,141,B141,2,B141_2,Conventional,ORBV,Pigmented,30.80924615,NA,0.84,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,142,B142,1,B142_1,Conventional,ORBV,Pigmented,38.71857857,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,142,B142,2,B142_2,Conventional,ORBV,Pigmented,39.88,NA,1,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,142,B142,3,B142_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,143,B143,1,B143_1,Conventional,ORBV,Pigmented,26.51499375,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,143,B143,2,B143_2,Conventional,ORBV,Pigmented,32.79333333,NA,0.88,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,143,B143,3,B143_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,145,B145,1,B145_1,Conventional,ORBV,Pigmented,29.71499375,NA,0.88,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,145,B145,3,B145_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,147,B147,1,B147_1,Conventional,ORBV,Pigmented,34.51333333,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
